hospital,type,gpr,npr,other.op.rev,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,charity.care,bad.debt,tot.uncomp.care
Adventist Medical Center,,706995791,262872123,34075775,296947898,290609793,6338105,2.13441652313026%,0,6338105,2.13441652313026%,19645199,27397526,47042725
Asante Rogue Regional Medical Center,,900006249,375752274,10185161,385937435,352796300,33141135,8.58717812642352%,34489520,67630655,16.0861843408684%,39020389,2153508,41173897
Asante Three Rivers Medical Center,,359189500,127743216,1773554,129516770,127812893,1703877,1.31556477203686%,13066222,14770099,10.3589487026615%,22564617,2517040,25081657
Ashland Community Hospital,,94300415,47764779,491800,48256579,51840146,-3583567,-7.42606930342078%,250154,-3333413,-6.87206248254237%,1437888,1860331,3298219
Bay Area Hospital,,284382248,124900183,2420108,127320291,122497794,4822497,3.78768926941896%,4397117,9219614,6.99954101738777%,9618715,8902273,18520988
Blue Mountain Hospital,,20879974,16082990,619868,16702858,17873268,-1170410,-7.00724390999433%,876548,-293862,-1.67162644744652%,498371,741948,1240319
Columbia Memorial Hospital,,122188627,66916207,2486791,69402998,64041288,5361710,7.72547318489037%,194348,5556058,7.98314636882849%,3002370,4416898,7419268
Coquille Valley Hospital,,27458119,15884770,612317,16497087,16379609,117478,0.712113599206939%,458266,575744,3.39564738050573%,327000,2215267,2542267
Curry General Hospital,,40667803,26828205,463107,27291312,24514060,2777252,10.1763227799382%,-442346,2334906,8.69644663410874%,549212,1804255,2353467
Good Samaritan Regional Medical Center,,618216627,312047653,9689032,321736685,327241969,-5505284,-1.71111478941234%,2465849,-3039435,-0.937511179354323%,20537794,9895277,30433071
Good Shepherd Medical Center,,115500939,80216124,2515136,82731260,73631298,9099962,10.9994239178758%,585947,9685909,11.6253404893901%,7157230,5020156,12177386
Grande Ronde Hospital,,94145886,65162834,1076080,66238914,63270316,2968598,4.48165258264953%,635284,3603882,5.3890470581793%,4163106,2943588,7106694
Harney District Hospital,,17245684,14409221,439388,14848609,15127930,-279321,-1.88112570005716%,176668,-102653,-0.683202046790884%,192965,1357826,1550791
Kaiser Sunnyside,,,,,527916560,489757201,38159359,7.22829361518798%,9234203,47393562,8.82313965920961%,7630955,6257084,13888039
Lake District Hospital,,20131420,17365872,116995,17482867,18009701,-526834,-3.01343023429738%,367347,-159487,-0.893473882161861%,297828,625343,923171
Legacy Emanuel Medical Center,,1208539000,544538000,26746000,571284000,573259000,-1975000,-0.345712465253709%,5487000,3512000,0.608907174597891%,73093000,26463000,99556000
Legacy Good Samaritan Medical Center,,637967000,275922000,6925000,282847000,275964000,6883000,2.43347109921618%,4565000,11448000,3.98313222829944%,33849000,9856000,43705000
Legacy Meridian Park Medical Center,,377789000,160894000,3164000,164058000,145529000,18529000,11.2941764497921%,6633000,25162000,14.7412575941321%,16536000,7098000,23634000
Legacy Mt. Hood Medical Center,,263438000,99033000,3240000,102273000,96701000,5572000,5.44816324934245%,873000,6445000,6.24842456324046%,26192000,7453000,33645000
Lower Umpqua Hospital,,25846879,15445053,1975878,17420931,18919482,-1498551,-8.60201443883797%,2174171,675619,3.44789733679365%,223818,1029420,1253238
McKenzie-Willamette Medical Center,,363367964,124526491,717099,125243590,113587976,11655614,9.30635571848428%,0,11655614,9.30635571848428%,2635792,12025964,14661756
Mercy Medical Center,,481256786,186224030,3302803,189526833,173006864,16519969,8.71642750448956%,157329,16677298,8.7921404845598%,11372359,15587546,26959905
