hospital,type,gpr,npr,other.op.rev,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,charity.care,bad.debt,tot.uncomp.care
Adventist Medical Center,,750710993,277940827,43367799,321308626,318542380,2766246,0.860931134790013%,0,2766246,0.860931134790013%,18103883,22313668,40417551
Asante Rogue Regional Medical Center,,985042432,380559201,12492862,393052063,368934963,24117100,6.13585381435843%,20737,24137837,6.14080572351992%,38280445,8042195,46322640
Asante Three Rivers Medical Center,,374090280,124046933,2706663,126753596,123558322,3195274,2.52085471405482%,153854,3349128,2.63903182988863%,23885506,4829409,28714915
Ashland Community Hospital,,84550041,43698325,447299,44145624,48023643,-3878019,-8.78460569500615%,262210,-3615809,-8.14227732881545%,841463,1725421,2566884
Bay Area Hospital,,292135182,126714279,3284263,129998542,123469328,6529214,5.02252863728272%,-1436486,5092728,3.96129943659271%,9144062,12043936,21187998
Blue Mountain Hospital,,21285668,14685339,470223,15155562,18662477,-3506915,-23.1394586357141%,951766,-2555149,-15.8632704319425%,666317,901807,1568124
Columbia Memorial Hospital,,132244360,70438029,2151262,72589291,68348391,4240900,5.84232183780387%,635255,4876155,6.65918092547819%,3142647,5142398,8285045
Coquille Valley Hospital,,33903505,20009101,677344,20686445,19278342,1408103,6.80688731195718%,-352902,1055201,5.189459603769%,253699,1977593,2231292
Curry General Hospital,,39137807,25758509,382227,26140736,24751520,1389216,5.31437217375976%,-229911,1159305,4.47421106815395%,920095,412395,1332490
Good Samaritan Regional Medical Center,,624329324,305994496,9700626,315695122,328150869,-12455747,-3.94549872075629%,1386264,-11069483,-3.49105418632174%,24225878,8036622,32262500
Good Shepherd Medical Center,,123934759,80440765,3325243,83766008,74784264,8981744,10.7%,3229668,12211412,14%,9726316,3763863,13490179
Grande Ronde Hospital,,100856536,65806038,758267,66564305,65130803,1433502,2.15355962929381%,2228178,3661680,5.32279086364712%,3530230,3499970,7030200
Harney District Hospital,,22327285,16139089,720780,16859869,17477135,-617266,-3.66115537433891%,224248,-393018,-2.30048764006943%,260155,1750717,2010872
Kaiser Sunnyside,,,,,521991514,515218148,6773365,1.29760059662579%,3326653,10100018,1.92264776557785%,7691503,6529818,14221321
Lake District Hospital,,22220248,17970176,1171855,19142031,18824300,317731,1.65986044009646%,1585334,1903065,9.1814130739725%,418564,619645,1038209
Legacy Emanuel Medical Center,,1293948000,566092000,27539000,593631000,596319000,-2688000,-0.452806541437358%,8929000,6241000,1.03574747742963%,69585000,26366000,95951000
Legacy Good Samaritan Medical Center,,657672000,271853000,4870000,276723000,264981000,11742000,4.24323240207717%,9543000,21285000,7.43539225755067%,32773000,9446000,42219000
Legacy Meridian Park Medical Center,,417427000,174461000,1955000,176416000,159427000,16989000,9.63007890440776%,13528000,30517000,16.0663142821042%,15945000,8583000,24528000
Legacy Mt. Hood Medical Center,,289256000,101477000,2656000,104133000,102412000,1721000,1.65269415074952%,1599000,3320000,3.14001437596943%,25106000,10801000,35907000
Lower Umpqua Hospital,,25225440,15681642,1882245,17563887,18975505,-1411618,-8.03704783570972%,1645499,233881,1.21753501127001%,551788,927557,1479345
McKenzie-Willamette Medical Center,,403316158,133654008,855082,134509090,109110687,25398403,18.8822948694397%,-8519514,16878889,13.3970519910314%,5269479,12604687,17874166
Mercy Medical Center,,496564962,175893683,5764826,181658509,165933773,15724736,8.6562066850389%,6358379,22083115,11.7452826897124%,13995199,9898577,23893776
Mid-Columbia Medical Center,,210616412,95984740,5623504,101608244,104252462,-2644218,-2.60236561119982%,1692858,-951360,-0.920958229467871%,6770731,5269006,12039737
OHSU Hospital,,2410989616,1186558369,47991077,1234549446,1154841316,79708130,6.4564550458678%,7506362,87214492,7.02178528841113%,87896265,49173120,137069385
PeaceHealth Cottage Grove Community Hospital,,36054974,20541695,2180443,22722138,28844316,-6122178,-26.9436705295954%,57132,-6065046,-26.6252869385191%,1703164,1827225,3530389
PeaceHealth Peace Harbor Hospital,,87861421,58701704,3596362,62298066,60045471,2252595,3.61583455897331%,8841,2261436,3.62951093046554%,4854433,1908351,6762784
PeaceHealth Sacred Heart-Riverbend,,1119175562,530929012,18408938,549337950,509143410,40194540,7.31690574081037%,800140,40994680,7.45170726135324%,42690136,26375207,69065343
PeaceHealth Sacred Heart-University District,,163461079,89186562,3577062,92763624,90471676,2291948,2.47074003922055%,124871,2416819,2.60184966932665%,10400043,6297829,16697872
Pioneer Memorial Hospital-Heppner,,7878459,6753803,582040,7335843,8116265,-780422,-10.63847740471%,1455279,674857,7.67657416197841%,98634,270831,369465
Pioneer Memorial Hospital-Prineville,,48645526,26638892,7575400,34214292,36306348,-2092056,-6.11456756141556%,70212,-2021844,-5.89725317303701%,2077586,1546523,3624109
Providence Hood River Memorial Hospital,,113899328,67733144,401906,68135050,68360344,-225294,-0.330658009350547%,-96,-225390,-0.330799372081472%,6221851,675718,6897569
Providence Medford Medical Center,,444561415,158116143,6668548,164784691,156713958,8070733,4.89774441486194%,24550,8095283,4.91191085577537%,29604582,3007687,32612269
